日期,计划购电量_kWh,期望紧急购电量_kWh,实际紧急购电量_kWh,实际结算总购电费_元,24:00储电量_kWh
2025-02-07,87817.82749999998,2860.225909999999,136.85666666666663,55950.429252331654,1199.9999999999955
2025-02-08,26386.089204732514,23000.282723333334,21053.571949999998,97492.4103048463,1199.9999999999993
2025-02-09,22033.699075925924,16876.30096666667,60118.65828333334,259910.7093486624,1200.0000000000005
2025-02-10,97263.85731666665,7416.75988,2534.844149999999,71542.67766054,1199.9999999999995
2025-02-11,69852.11829999999,24789.59032666667,21466.254083333333,132175.452443425,1200.0000000000018
2025-02-12,84328.7176510288,3166.37436,3474.7947999999997,65416.637900210095,1200.0000000000005
2025-02-13,67970.48614999998,23455.18458,21211.565,128024.35021425664,1200.000000000002
2025-02-14,82922.34282818928,2356.763973333333,152.34000000000003,52344.48183799922,1200.0000000000025
2025-02-15,26083.76235061729,21902.61475,20390.804416666666,94865.56549792214,1200.0000000000043
2025-02-16,20245.81455720164,16898.9355,57394.91378333333,249662.3059066276,1200.0000000000005
2025-02-17,96191.1672621399,7572.609253333333,2509.0158999999985,69786.04091522953,1200.0000000000005
2025-02-18,68016.92913333332,23287.828606666666,20968.348983333333,126248.97167835334,1199.9999999999982
2025-02-19,79480.67579631481,2559.3186699999997,3495.9376166666657,61588.73482717085,1200.0000000000032
2025-02-20,71700.03673333331,22589.26618333333,19773.740566666667,125399.39909800333,1200.0000000000018
2025-02-21,76533.55218024692,3027.8720866666667,244.09956666666676,48373.04493993394,1200.0000000000043
2025-02-22,26567.578328806576,21313.79595666667,19619.980649999998,93732.96194506988,1200.000000000001
2025-02-23,14535.854768518519,15839.016363333334,59760.65505,256449.75490211757,1200.0000000000023
2025-02-24,88956.02683333334,7370.165143333334,2540.8347333333313,66430.57475387832,1199.9999999999995
2025-02-25,67024.78878333334,22037.851980000003,19874.789033333334,120843.84218019666,1200.0000000000002
2025-02-26,71471.42384399999,2641.4926499999992,4309.1541666666635,58130.176488641446,1199.9999999999995
2025-02-27,63723.60770802468,21907.957013333333,19328.65593333333,117943.33940769444,1200.0000000000014
2025-02-28,73820.26292448764,2629.5682266666663,214.30000000000007,46209.59578318547,1200.000000000001
2025-03-01,29060.01815617284,21820.798736666664,17563.021983333332,87896.5126766611,1200.0000000000005
2025-03-02,13118.8540253395,15593.695526666665,61567.739183333324,264937.2903044835,1200.0000000000018
2025-03-03,93253.05359999998,8302.519929999999,3361.337833333332,71486.26014857333,1199.9999999999995
2025-03-04,64555.2766265432,22140.927616666668,20614.235016666666,121720.70265141263,1200.0
2025-03-05,76516.17027360699,2721.64164,2377.6833499999993,55828.2599936967,1200.0000000000023
2025-03-06,63114.31501666667,21577.942223333335,19376.94568333333,115849.01791546665,1200.0000000000027
2025-03-07,78437.04638224073,2364.59192,132.86666666666667,48897.830414121556,1200.0000000000032
