日期,因素,扰动,参数值,期望总购电费_元,实际结算总购电费_元,计划购电量_kWh,期望紧急购电量_kWh,实际紧急购电量_kWh,最大同时充放电量_kWh
2025-06-21,预测误差缩放,-0.19999999999999996,0.8,69592.09432788898,58814.01326734429,20160.91044489712,14540.574822666667,12480.467803333333,0.0
2025-06-21,预测误差缩放,0.0,1.0,86619.16800286974,71966.65339060308,18354.33556831276,19000.731363333332,16082.283999999996,0.0
2025-06-21,预测误差缩放,0.19999999999999996,1.2,103821.7096416751,84399.73824030343,15779.343056790121,23538.268157333332,19522.38082333333,0.0
2025-06-21,紧急电价倍数,,3.0,54964.337845759175,45432.90089087069,16099.687958436209,19435.9239272,16082.283999999998,0.0
2025-06-21,紧急电价倍数,,5.0,86619.16800286974,71966.65339060308,18354.33556831276,19000.731363333332,16082.283999999996,0.0
2025-06-21,紧急电价倍数,,7.0,117794.88700453375,97873.25546194473,18957.469534979424,18880.10457,16082.283999999996,0.0
2025-06-21,充放电效率,-0.08999999999999997,0.81,87968.1244770117,73516.2138190667,20706.49340297599,18949.96648,16082.283999999998,0.0
2025-06-21,充放电效率,0.0,0.9,86619.16800286974,71966.65339060308,18354.33556831276,19000.731363333332,16082.283999999996,0.0
2025-06-21,充放电效率,0.08999999999999997,0.99,85405.93662620505,70877.13018408505,16609.835704475732,18969.196243333332,16082.283999999998,0.0
2025-06-21,初始储电量,-1000.0,5000.0,87091.57924089642,72639.66858295142,19719.271096090535,18949.96648,16082.283999999998,0.0
2025-06-21,初始储电量,0.0,6000.0,86619.16800286974,71966.65339060308,18354.33556831276,19000.731363333332,16082.283999999996,0.0
2025-06-21,初始储电量,1000.0,7000.0,86152.4485979453,71536.29767675864,17331.63605720165,18983.049043333333,16082.283999999998,0.0
2025-09-23,情景数量,,3.0,89129.80248192653,68175.60427478487,89437.82976533333,7071.648794444445,1856.411883333335,0.0
2025-09-23,情景数量,,5.0,122319.60848791152,110238.66261391164,56660.015466666664,21394.4624364,17920.78286666667,0.0
2025-09-23,情景数量,,7.0,117847.86379861842,105351.82637068628,49171.36285576131,21696.131190476186,18360.811333333335,0.0
2025-09-23,预测误差缩放,-0.19999999999999996,0.8,104115.83283276789,97358.7986559789,60528.65119576131,16317.698552666667,14125.338786666667,0.0
2025-09-23,预测误差缩放,0.0,1.0,122319.60848791152,110238.66261391164,56660.015466666664,21394.4624364,17920.78286666667,0.0
2025-09-23,预测误差缩放,0.19999999999999996,1.2,141693.1670334255,125075.83946928184,51674.61363502058,26876.55340066666,22330.12043333333,0.0
2025-09-23,紧急电价倍数,,3.0,85283.51911289852,73633.32833636452,48548.70808253086,22909.71786,17944.385583333333,0.0
2025-09-23,紧急电价倍数,,5.0,122319.60848791152,110238.66261391164,56660.015466666664,21394.4624364,17920.78286666667,0.0
2025-09-23,紧急电价倍数,,7.0,155788.31459584017,143625.51698217652,64059.610848666656,19914.54336,17503.317049999998,0.0
2025-09-23,充放电效率,-0.08999999999999997,0.81,125572.54990607663,110788.79827848091,56426.70387592592,21966.045716984,17934.7613,0.0
2025-09-23,充放电效率,0.0,0.9,122319.60848791152,110238.66261391164,56660.015466666664,21394.4624364,17920.78286666667,0.0
