日期,情景,计划购电量_kWh,调整购电量_kWh,紧急购电量_kWh,计划购电费_元,调整费用_元,紧急购电费_元,总费用_元
2025-07-19,更新至18:00,43695.44126668107,44096.55969116666,1475.8827999999999,27025.249915204142,365.84491835838855,5044.481749133333,32435.576582695863
2025-07-20,仅0:00预报,78235.91900185184,78235.91900185184,3743.5131000000006,49650.75455384499,0.0,16454.169383041666,66104.92393688665
2025-07-20,更新至6:00,78235.91900185184,79000.72866090533,3147.8354833333324,49650.75455384499,918.8284843108629,13609.307558408329,64178.89059656418
2025-07-20,更新至12:00,78235.91900185184,78898.38949423868,3147.078199999999,49650.75455384499,895.0557016081179,13589.193269049996,64135.0035245031
2025-07-20,更新至18:00,78235.91900185184,78898.38949423868,3147.078199999999,49650.75455384499,895.0557016081182,13589.193269049996,64135.0035245031
2025-07-21,仅0:00预报,78651.03611502057,78651.03611502057,3485.0864500000007,50431.39012083547,0.0,14685.502061650004,65116.89218248548
2025-07-21,更新至6:00,78651.03611502057,78664.85721502057,3883.755900000001,50431.39012083547,21.38158722750019,16170.054320583335,66622.8260286463
2025-07-21,更新至12:00,78651.03611502057,81406.19323333334,2652.3267000000005,50431.39012083547,2907.506335008774,10926.011553941667,64264.90800978591
2025-07-21,更新至18:00,78651.03611502057,81406.19323333334,2652.3267000000005,50431.39012083547,2907.506335008774,10926.011553941667,64264.90800978591
2025-07-22,仅0:00预报,75458.20690679012,75458.20690679012,5093.7618999999995,48829.796311179685,0.0,19585.332940300003,68415.1292514797
2025-07-22,更新至6:00,75458.20690679012,85498.58666773251,2839.9792333333326,48829.796311179685,8839.341330364892,11590.063500616663,69259.20114216124
2025-07-22,更新至12:00,75458.20690679012,80102.28326506584,2851.251049999999,48829.796311179685,3270.1749543597934,11652.69380148333,63752.665067022805
2025-07-22,更新至18:00,75458.20690679012,80102.28326506584,2851.251049999999,48829.796311179685,3270.1749543597934,11652.69380148333,63752.665067022805
2025-07-23,仅0:00预报,86309.89440969135,86309.89440969135,1707.5830166666665,55191.64554488261,0.0,6591.374047858333,61783.019592740944
2025-07-23,更新至6:00,86309.89440969135,86309.89440969135,2209.2878499999997,55191.64554488261,0.0,9740.338093058332,64931.98363794094
2025-07-23,更新至12:00,86309.89440969135,86476.29437779835,2168.091816666666,55191.64554488261,221.52661631009488,9561.62490928333,64974.79707047604
2025-07-23,更新至18:00,86309.89440969135,86476.29437779835,2168.091816666666,55191.64554488261,221.5266163100962,9561.62490928333,64974.79707047604
2025-07-24,仅0:00预报,84572.01764465022,84572.01764465022,1822.184066666667,54250.18237539839,0.0,7058.854271716667,61309.03664711506
2025-07-24,更新至6:00,84572.01764465022,84572.01764465022,1931.9694333333339,54250.18237539839,0.0,7667.709419675001,61917.891795073396
2025-07-24,更新至12:00,84572.01764465022,84572.01764465022,1967.5880500000005,54250.18237539839,0.0,7849.510341441668,62099.69271684006
2025-07-24,更新至18:00,84572.01764465022,84572.0176446502,1967.5880500000005,54250.18237539839,2.2851054382044825e-13,7849.510341441668,62099.69271684006
2025-07-25,仅0:00预报,40454.63678233333,40454.63678233333,1973.9637333333349,24510.544733478866,0.0,6885.475517808338,31396.020251287206
2025-07-25,更新至6:00,40454.63678233333,40795.39948333333,1615.2805333333338,24510.544733478866,453.4281373175988,5673.615951875002,30637.588822671467
2025-07-25,更新至12:00,40454.63678233333,40651.67998333333,1660.8784333333335,24510.544733478866,266.81384658509904,5869.038139566668,30646.396719630633
2025-07-25,更新至18:00,40454.63678233333,40651.67998333333,1660.8784333333335,24510.544733478866,266.8138465850991,5869.038139566668,30646.396719630633
2025-07-26,仅0:00预报,40571.445672999995,40571.445672999995,1669.963766666667,24373.30062954673,0.0,5888.779087341666,30262.0797168884
2025-07-26,更新至6:00,40571.445672999995,41113.90338333333,1870.8453333333327,24373.30062954673,741.5055429624013,6186.614953666666,31301.4211261758
2025-07-26,更新至12:00,40571.445672999995,40936.838272999994,1874.5992999999999,24373.30062954673,523.8794046150006,6201.382253258334,31098.562287420064
2025-07-26,更新至18:00,40571.445672999995,40936.838272999994,1874.5992999999999,24373.30062954673,523.8794046150012,6201.382253258334,31098.562287420064
2025-07-27,仅0:00预报,76807.70519341563,76807.70519341563,3370.1119499999995,48401.82787942209,0.0,14536.565931058336,62938.393810480426
2025-07-27,更新至6:00,76807.70519341563,78386.33737901234,3153.6103999999996,48401.82787942209,1869.8730695942895,13510.631708724999,63782.332657741375
